,GunGu_search,SiDo_search
0,가평,1
1,강남,8
2,강동,8
3,강릉,0
4,강북,8
5,강서,7
6,강서,8
7,강진,12
8,강화,11
9,거제,2
10,거창,2
11,경산,3
12,경주,3
13,계룡,15
14,계양,11
15,고령,3
16,고성,2
17,고성,0
18,고양,1
19,고창,13
20,고흥,12
21,곡성,12
22,공주,15
23,과천,1
24,관악,8
25,광명,1
26,광산,4
27,광양,12
29,광진,8
30,괴산,16
31,구례,12
32,구로,8
33,구리,1
34,구미,3
35,군산,13
36,군위,3
37,군포,1
38,금산,15
39,금정,7
40,금천,8
41,기장,7
42,김제,13
43,김천,3
44,김포,1
45,김해,2
46,나주,12
47,남동,11
48,남양주,1
49,남원,13
50,남해,2
51,노원,8
52,논산,15
53,단양,16
54,달서,5
55,달성,5
56,담양,12
57,당진,15
58,대덕,6
59,도봉,8
60,동대문,8
61,동두천,1
62,동래,7
63,동작,8
64,동해,0
65,마포,8
66,목포,12
67,무안,12
68,무주,13
69,문경,3
70,미추홀,11
71,밀양,2
72,보령,15
73,보성,12
74,보은,16
75,봉화,3
76,7진,7
77,부안,13
78,부여,15
79,부천,1
80,부평,11
81,사상,7
82,사천,2
83,사하,7
84,산청,2
85,삼척,0
86,상주,3
87,서귀포,14
88,서대문,8
89,서산,15
90,서천,15
91,서초,8
92,성남,1
93,성동,8
94,성북,8
95,성주,3
96,세종,9
97,속초,0
98,송파,8
99,수성,5
100,수영,7
101,수원,1
102,순창,13
103,순천,12
104,시흥,1
105,신안,12
106,아산,15
107,안동,3
108,안산,1
109,안성,1
110,안양,1
111,양구,0
112,양산,2
113,양양,0
114,양주,1
115,양천,8
116,양평,1
117,여수,12
118,여주,1
119,연수,11
120,연제,7
121,연천,1
122,영광,12
123,영덕,3
124,영도,7
125,영동,16
126,영등포,8
127,영양,3
128,영월,0
129,영암,12
130,영주,3
131,영천,3
132,예산,15
133,예천,3
134,오산,1
135,옥천,16
136,옹진,11
137,완도,12
138,완주,13
139,용산,8
140,용인,1
141,울릉,3
142,울주,10
143,울진,3
144,원주,0
145,유성,6
146,은평,8
147,음성,16
148,의령,2
149,의성,3
150,의왕,1
151,의정부,1
152,이천,1
153,익산,13
154,인제,0
155,임실,13
156,장성,12
157,장수,13
158,장흥,12
159,전주,13
160,정선,0
161,정읍,13
162,제주,14
163,제천,16
164,종로,8
165,중구,5
166,중구,6
167,중구,7
168,중구,8
169,중구,10
170,중구,11
171,중랑,8
172,증평,16
173,진도,12
174,진안,13
175,진주,2
176,진천,16
177,창녕,2
178,창원,2
179,천안,15
180,철원,0
181,청도,3
182,청송,3
183,청양,15
184,청주,16
185,춘천,0
186,충주,16
187,칠곡,3
188,태백,0
189,태안,15
190,통영,2
191,파주,1
192,평창,0
193,평택,1
194,포천,1
195,포항,3
196,하남,1
197,하동,2
198,함안,2
199,함양,2
200,함평,12
201,합천,2
202,해남,12
203,해운대,7
204,홍성,15
205,홍천,0
206,화성,1
207,화순,12
208,화천,0
209,횡성,0
